¹,EC,Protein,R_1,R_2,R_3,R_4,R_5,R_6,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8
13,1.1.1.10,L-xylulose reductase,xylitol,NADP+,NA,NA,NA,NA,L-xylulose,NADPH,H+,NA,NA,NA,NA,NA
14,1.1.1.11,D-arabinitol 4-dehydrogenase,D-arabinitol,NAD+,NA,NA,NA,NA,D-xylulose,NADH,H+,NA,NA,NA,NA,NA
15,1.1.1.12,L-arabinitol 4-dehydrogenase,L-arabinitol,NAD+,NA,NA,NA,NA,L-xylulose,NADH,H+,NA,NA,NA,NA,NA
16,1.1.1.13,L-arabinitol 2-dehydrogenase,L-arabinitol,NAD+,NA,NA,NA,NA,L-ribulose,NADH,H+,NA,NA,NA,NA,NA
17,1.1.1.14,L-iditol 2-dehydrogenase,L-iditol,NAD+,NA,NA,NA,NA,L-sorbose,NADH,H+,NA,NA,NA,NA,NA
18,1.1.1.15,D-iditol 2-dehydrogenase,D-iditol,NAD+,NA,NA,NA,NA,D-sorbose,NADH,H+,NA,NA,NA,NA,NA
19,1.1.1.16,galactitol 2-dehydrogenase,galactitol,NAD+,NA,NA,NA,NA,D-tagatose,NADH,H+,NA,NA,NA,NA,NA
20,1.1.1.17,mannitol-1-phosphate 5-dehydrogenase,D-mannitol 1-phosphate,NAD+,NA,NA,NA,NA,D-fructose 6-phosphate,NADH,H+,NA,NA,NA,NA,NA
21,1.1.1.18,inositol 2-dehydrogenase,myo-inositol,NAD+,NA,NA,NA,NA,"2,4,6/3,5-pentahydroxycyclohexanone",NADH,H+,NA,NA,NA,NA,NA
22,1.1.1.B18,L-1-amino-2-propanol dehydrogenase,"(1S,2S)-2-(methylamino)-1-phenylpropan-1-ol",NADP+,NA,NA,NA,NA,(2S)-2-(methylamino)-1-phenylpropan-1-one,NADPH,H+,NA,NA,NA,NA,NA
23,1.1.1.19,glucuronate reductase,L-gulonate,NADP+,NA,NA,NA,NA,D-glucuronate,NADPH,H+,NA,NA,NA,NA,NA
24,1.1.1.B19,xylitol dehydrogenase (NAD+),xylitol,NAD+,NA,NA,NA,NA,L-xylulose,NADH,H+,NA,NA,NA,NA,NA
25,1.1.1.20,glucuronolactone reductase,"L-gulono-1,4-lactone",NADP+,NA,NA,NA,NA,"D-glucurono-3,6-lactone",NADPH,H+,NA,NA,NA,NA,NA
26,1.1.1.B20,"meso-2,3-butandiol dehydrogenase","(2R,3S)-butane-2,3-diol",NAD+,NA,NA,NA,NA,acetoin,NADH,H+,NA,NA,NA,NA,NA
27,1.1.1.21,aldose reductase,alditol,NAD(P)+,NA,NA,NA,NA,aldose,NAD(P)H,H+,NA,NA,NA,NA,NA
28,1.1.1.22,UDP-glucose 6-dehydrogenase,UDP-alpha-D-glucose,NAD+,H2O,NA,NA,NA,UDP-alpha-D-glucuronate,NADH,H+,NA,NA,NA,NA,NA
29,1.1.1.23,histidinol dehydrogenase,L-histidinol,NAD+,H2O,NA,NA,NA,L-histidine,NADH,H+,NA,NA,NA,NA,NA
30,1.1.1.24,quinate dehydrogenase,L-quinate,NAD+,NA,NA,NA,NA,3-dehydroquinate,NADH,H+,NA,NA,NA,NA,NA
31,1.1.1.B25,norsolorinate ketoreductase,(1'S)-averantin,NAD(P)+,NA,NA,NA,NA,norsolorinate,NAD(P)H,H+,NA,NA,NA,NA,NA
32,1.1.1.25,shikimate dehydrogenase,shikimate,NADP+,NA,NA,NA,NA,3-dehydroshikimate,NADPH,H+,NA,NA,NA,NA,NA
33,1.1.1.26,glyoxylate reductase,glycolate,NAD+,NA,NA,NA,NA,glyoxylate,NADH,H+,NA,NA,NA,NA,NA
34,1.1.1.27,L-lactate dehydrogenase,(S)-lactate,NAD+,NA,NA,NA,NA,pyruvate,NADH,H+,NA,NA,NA,NA,NA
35,1.1.1.28,D-lactate dehydrogenase,(R)-lactate,NAD+,NA,NA,NA,NA,pyruvate,NADH,H+,NA,NA,NA,NA,NA
36,1.1.1.B28,dTDP-4-dehydro-6-deoxyglucose reductase [NAD(P)H],dTDP-alpha-D-fucopyranose,NAD(P)+,NA,NA,NA,NA,dTDP-4-dehydro-6-deoxy-alpha-D-glucose,NAD(P)H,H+,NA,NA,NA,NA,NA
37,1.1.1.29,glycerate dehydrogenase,D-glycerate,NAD+,NA,NA,NA,NA,hydroxypyruvate,NADH,H+,NA,NA,NA,NA,NA
38,1.1.1.30,3-hydroxybutyrate dehydrogenase,(R)-3-hydroxybutanoate,NAD+,NA,NA,NA,NA,acetoacetate,NADH,H+,NA,NA,NA,NA,NA
39,1.1.1.31,3-hydroxyisobutyrate dehydrogenase,3-hydroxy-2-methylpropanoate,NAD+,NA,NA,NA,NA,2-methyl-3-oxopropanoate,NADH,H+,NA,NA,NA,NA,NA
40,1.1.1.32,mevaldate reductase,(R)-mevalonate,NAD+,NA,NA,NA,NA,mevaldate,NADH,H+,NA,NA,NA,NA,NA
41,1.1.1.33,mevaldate reductase (NADPH),(R)-mevalonate,NADP+,NA,NA,NA,NA,mevaldate,NADPH,H+,NA,NA,NA,NA,NA
42,1.1.1.34,hydroxymethylglutaryl-CoA reductase (NADPH),(R)-mevalonate,CoA,NADP+,NA,NA,NA,(S)-3-hydroxy-3-methylglutaryl-CoA,NADPH,H+,NA,NA,NA,NA,NA
43,1.1.1.35,3-hydroxyacyl-CoA dehydrogenase,(S)-3-hydroxyacyl-CoA,NAD+,NA,NA,NA,NA,3-oxoacyl-CoA,NADH,H+,NA,NA,NA,NA,NA
44,1.1.1.B35,D-arabinose 1-dehydrogenase (NADP+),D-arabinose,NADP+,NA,NA,NA,NA,"D-arabinono-1,4-lactone",NADPH,H+,NA,NA,NA,NA,NA
45,1.1.1.36,acetoacetyl-CoA reductase,(R)-3-hydroxyacyl-CoA,NADP+,NA,NA,NA,NA,3-oxoacyl-CoA,NADPH,H+,NA,NA,NA,NA,NA
46,1.1.1.37,malate dehydrogenase,(S)-malate,NAD+,NA,NA,NA,NA,oxaloacetate,NADH,H+,NA,NA,NA,NA,NA
47,1.1.1.B38,hydroxymethylglutaryl-CoA reductase [NAD(P)H],mevalonate,CoA,NAD(P)+,NA,NA,NA,3-hydroxy-3-methylglutaryl-CoA,NAD(P)H,H+,NA,NA,NA,NA,NA
48,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),(S)-malate,NAD+,NA,NA,NA,NA,pyruvate,CO2,NADH,NA,NA,NA,NA,NA
49,1.1.1.39,malate dehydrogenase (decarboxylating),(S)-malate,NAD+,NA,NA,NA,NA,pyruvate,CO2,NADH,NA,NA,NA,NA,NA
50,1.1.1.B40,11beta-hydroxysteroid dehydrogenase (NAD+),an 11beta-hydroxysteroid,NAD+,NA,NA,NA,NA,an 11-oxosteroid,NADH,H+,NA,NA,NA,NA,NA
51,1.1.1.40,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),(S)-malate,NADP+,NA,NA,NA,NA,pyruvate,CO2,NADPH,NA,NA,NA,NA,NA
52,1.1.1.41,isocitrate dehydrogenase (NAD+),isocitrate,NAD+,NA,NA,NA,NA,2-oxoglutarate,CO2,NADH,NA,NA,NA,NA,NA
53,1.1.1.42,isocitrate dehydrogenase (NADP+),isocitrate,NADP+,NA,NA,NA,NA,2-oxoglutarate,CO2,NADPH,H+,NA,NA,NA,NA
54,1.1.1.42,isocitrate dehydrogenase (NADP+),oxalosuccinate,NA,NA,NA,NA,NA,2-oxoglutarate,CO2,NA,NA,NA,NA,NA,NA
55,1.1.1.43,phosphogluconate 2-dehydrogenase,6-phospho-D-gluconate,NAD(P)+,NA,NA,NA,NA,6-phospho-2-dehydro-D-gluconate,NAD(P)H,H+,NA,NA,NA,NA,NA
56,1.1.1.44,"phosphogluconate dehydrogenase (NADP+-dependent, decarboxylating)",6-phospho-D-gluconate,NADP+,NA,NA,NA,NA,D-ribulose 5-phosphate,CO2,NADPH,H+,NA,NA,NA,NA
57,1.1.1.45,L-gulonate 3-dehydrogenase,L-gulonate,NAD+,NA,NA,NA,NA,3-dehydro-L-gulonate,NADH,H+,NA,NA,NA,NA,NA
58,1.1.1.46,L-arabinose 1-dehydrogenase,L-arabinose,NAD+,NA,NA,NA,NA,"L-arabinono-1,4-lactone",NADH,H+,NA,NA,NA,NA,NA
59,1.1.1.47,glucose 1-dehydrogenase [NAD(P)+],D-glucose,NAD(P)+,NA,NA,NA,NA,"D-glucono-1,5-lactone",NAD(P)H,H+,NA,NA,NA,NA,NA
60,1.1.1.B47,succinate semialdehyde reductase (NADPH),4-hydroxybutanoate,NADP+,NA,NA,NA,NA,succinate semialdehyde,NADPH,H+,NA,NA,NA,NA,NA
61,1.1.1.48,D-galactose 1-dehydrogenase,D-galactose,NAD+,NA,NA,NA,NA,"D-galactono-1,4-lactone",NADH,H+,NA,NA,NA,NA,NA
62,1.1.1.49,glucose-6-phosphate dehydrogenase (NADP+),D-glucose 6-phosphate,NADP+,NA,NA,NA,NA,"6-phospho-D-glucono-1,5-lactone",NADPH,H+,NA,NA,NA,NA,NA
63,1.1.1.50,3alpha-hydroxysteroid 3-dehydrogenase (Si-specific),a 3alpha-hydroxysteroid,NAD(P)+,NA,NA,NA,NA,a 3-oxosteroid,NAD(P)H,H+,NA,NA,NA,NA,NA
64,1.1.1.51,3(or 17)beta-hydroxysteroid dehydrogenase,testosterone,NAD(P)+,NA,NA,NA,NA,androstenedione,NAD(P)H,H+,NA,NA,NA,NA,NA
65,1.1.1.B51,3-quinuclidinone reductase (NADPH),(R)-3-quinuclidinol,NADP+,NA,NA,NA,NA,3-quinuclidinone,NADPH,H+,NA,NA,NA,NA,NA
66,1.1.1.B52,3-quinuclidinone reductase (NADH),(R)-3-quinuclidinol,NAD+,NA,NA,NA,NA,3-quinuclidinone,NADH,H+,NA,NA,NA,NA,NA
67,1.1.1.52,3alpha-hydroxycholanate dehydrogenase (NAD+),lithocholate,NAD+,NA,NA,NA,NA,3-oxo-5beta-cholan-24-oate,NADH,H+,NA,NA,NA,NA,NA
68,1.1.1.53,3alpha(or 20beta)-hydroxysteroid dehydrogenase,"androstan-3alpha,17beta-diol",NAD+,NA,NA,NA,NA,17beta-hydroxyandrostan-3-one,NADH,H+,NA,NA,NA,NA,NA
69,1.1.1.54,allyl-alcohol dehydrogenase,allyl alcohol,NADP+,NA,NA,NA,NA,acrolein,NADPH,H+,NA,NA,NA,NA,NA
70,1.1.1.55,lactaldehyde reductase (NADPH),"propane-1,2-diol",NADP+,NA,NA,NA,NA,L-lactaldehyde,NADPH,H+,NA,NA,NA,NA,NA
71,1.1.1.56,ribitol 2-dehydrogenase,ribitol,NAD+,NA,NA,NA,NA,D-ribulose,NADH,H+,NA,NA,NA,NA,NA
72,1.1.1.B57,1-tetralone reductase [NADPH],1-tetralone,NADPH,H+,NA,NA,NA,1-tetralol,NADP+,NA,NA,NA,NA,NA,NA
73,1.1.1.57,fructuronate reductase,D-mannonate,NAD+,NA,NA,NA,NA,D-fructuronate,NADH,H+,NA,NA,NA,NA,NA
74,1.1.1.58,tagaturonate reductase,D-altronate,NAD+,NA,NA,NA,NA,D-tagaturonate,NADH,H+,NA,NA,NA,NA,NA
75,1.1.1.59,3-hydroxypropionate dehydrogenase,3-hydroxypropanoate,NAD+,NA,NA,NA,NA,3-oxopropanoate,NADH,H+,NA,NA,NA,NA,NA
76,1.1.1.60,2-hydroxy-3-oxopropionate reductase,D-glycerate,NAD(P)+,NA,NA,NA,NA,2-hydroxy-3-oxopropanoate,NAD(P)H,H+,NA,NA,NA,NA,NA
77,1.1.1.B60,D-sorbitol dehydrogenase (NADP+),D-sorbitol,NADP+,NA,NA,NA,NA,L-sorbose,NADPH,H+,NA,NA,NA,NA,NA
78,1.1.1.61,4-hydroxybutyrate dehydrogenase,4-hydroxybutanoate,NAD+,NA,NA,NA,NA,succinate semialdehyde,NADH,H+,NA,NA,NA,NA,NA
79,1.1.1.62,17beta-estradiol 17-dehydrogenase,17beta-estradiol,NAD(P)+,NA,NA,NA,NA,estrone,NAD(P)H,H+,NA,NA,NA,NA,NA
80,1.1.1.B63,3-quinuclidinone reductase (NADP+),(S)-3-quinuclidinol,NADP+,NA,NA,NA,NA,3-quinuclidinone,NADPH,H+,NA,NA,NA,NA,NA
81,1.1.1.64,testosterone 17beta-dehydrogenase (NADP+),testosterone,NADP+,NA,NA,NA,NA,androstenedione,NADPH,H+,NA,NA,NA,NA,NA
82,1.1.1.B64,xylitol dehydrogenase (NADP+),xylitol,NADP+,NA,NA,NA,NA,D-xylulose,NADPH,H+,NA,NA,NA,NA,NA
83,1.1.1.65,pyridoxine 4-dehydrogenase,pyridoxine,NADP+,NA,NA,NA,NA,pyridoxal,NADPH,H+,NA,NA,NA,NA,NA
84,1.1.1.66,omega-hydroxydecanoate dehydrogenase,10-hydroxydecanoate,NAD+,NA,NA,NA,NA,10-oxodecanoate,NADH,H+,NA,NA,NA,NA,NA
85,1.1.1.67,mannitol 2-dehydrogenase,D-mannitol,NAD+,NA,NA,NA,NA,D-fructose,NADH,H+,NA,NA,NA,NA,NA
86,1.1.1.69,gluconate 5-dehydrogenase,D-gluconate,NAD(P)+,NA,NA,NA,NA,5-dehydro-D-gluconate,NAD(P)H,H+,NA,NA,NA,NA,NA
87,1.1.1.71,alcohol dehydrogenase [NAD(P)+],a primary alcohol,NAD(P)+,NA,NA,NA,NA,an aldehyde,NAD(P)H,H+,NA,NA,NA,NA,NA
88,1.1.1.72,glycerol dehydrogenase (NADP+),glycerol,NADP+,NA,NA,NA,NA,D-glyceraldehyde,NADPH,H+,NA,NA,NA,NA,NA
89,1.1.1.73,octanol dehydrogenase,octan-1-ol,NAD+,NA,NA,NA,NA,octanal,NADH,H+,NA,NA,NA,NA,NA
90,1.1.1.75,(R)-aminopropanol dehydrogenase,(R)-1-aminopropan-2-ol,NAD+,NA,NA,NA,NA,aminoacetone,NADH,H+,NA,NA,NA,NA,NA
91,1.1.1.76,"(S,S)-butanediol dehydrogenase","(2S,3S)-butane-2,3-diol",NAD+,NA,NA,NA,NA,(S)-acetoin,NADH,H+,NA,NA,NA,NA,NA
92,1.1.1.77,lactaldehyde reductase,"(R)[or (S)]-propane-1,2-diol",NAD+,NA,NA,NA,NA,(R)[or (S)]-lactaldehyde,NADH,H+,NA,NA,NA,NA,NA
93,1.1.1.78,methylglyoxal reductase (NADH),(R)-lactaldehyde,NAD+,NA,NA,NA,NA,2-oxopropanal,NADH,H+,NA,NA,NA,NA,NA
94,1.1.1.79,glyoxylate reductase (NADP+),D-glycerate,NAD(P)+,NA,NA,NA,NA,glyoxylate,NADPH,H+,NA,NA,NA,NA,NA
95,1.1.1.79,glyoxylate reductase (NADP+),glycolate,NADP+,NA,NA,NA,NA,glyoxylate,NADPH,H+,NA,NA,NA,NA,NA
96,1.1.1.80,isopropanol dehydrogenase (NADP+),propan-2-ol,NADP+,NA,NA,NA,NA,acetone,NADPH,H+,NA,NA,NA,NA,NA
97,1.1.1.81,hydroxypyruvate reductase,D-glycerate,NAD(P)+,NA,NA,NA,NA,hydroxypyruvate,NAD(P)H,H+,NA,NA,NA,NA,NA
98,1.1.1.82,malate dehydrogenase (NADP+),(S)-malate,NADP+,NA,NA,NA,NA,oxaloacetate,NADPH,H+,NA,NA,NA,NA,NA
99,1.1.1.83,D-malate dehydrogenase (decarboxylating),(R)-malate,NAD+,NA,NA,NA,NA,pyruvate,CO2,NADH,NA,NA,NA,NA,NA
100,1.1.1.84,dimethylmalate dehydrogenase,"(R)-3,3-dimethylmalate",NAD+,NA,NA,NA,NA,3-methyl-2-oxobutanoate,CO2,NADH,NA,NA,NA,NA,NA
101,1.1.1.85,3-isopropylmalate dehydrogenase,"(2R,3S)-3-isopropylmalate",NAD+,NA,NA,NA,NA,(2S)-2-isopropyl-3-oxosuccinate,NADH,H+,NA,NA,NA,NA,NA
102,1.1.1.86,ketol-acid reductoisomerase (NADP+),"(2R)-2,3-dihydroxy-3-methylbutanoate",NADP+,NA,NA,NA,NA,(2S)-2-hydroxy-2-methyl-3-oxobutanoate,NADPH,H+,NA,NA,NA,NA,NA
103,1.1.1.87,homoisocitrate dehydrogenase,"(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate",NAD+,NA,NA,NA,NA,2-oxoadipate,CO2,NADH,H+,NA,NA,NA,NA
104,1.1.1.88,hydroxymethylglutaryl-CoA reductase,(R)-mevalonate,CoA,NAD+,NA,NA,NA,3-hydroxy-3-methylglutaryl-CoA,NADH,H+,NA,NA,NA,NA,NA
105,1.1.1.90,aryl-alcohol dehydrogenase,an aromatic alcohol,NAD+,NA,NA,NA,NA,an aromatic aldehyde,NADH,H+,NA,NA,NA,NA,NA
106,1.1.1.91,aryl-alcohol dehydrogenase (NADP+),an aromatic alcohol,NADP+,NA,NA,NA,NA,an aromatic aldehyde,NADPH,H+,NA,NA,NA,NA,NA
107,1.1.1.92,oxaloglycolate reductase (decarboxylating),D-glycerate,NAD(P)+,CO2,NA,NA,NA,2-hydroxy-3-oxosuccinate,NAD(P)H,H+,NA,NA,NA,NA,NA
108,1.1.1.93,tartrate dehydrogenase,tartrate,NAD+,NA,NA,NA,NA,oxaloglycolate,NADH,H+,NA,NA,NA,NA,NA
109,1.1.1.94,glycerol-3-phosphate dehydrogenase [NAD(P)+],sn-glycerol 3-phosphate,NAD(P)+,NA,NA,NA,NA,glycerone phosphate,NAD(P)H,H+,NA,NA,NA,NA,NA
110,1.1.1.95,phosphoglycerate dehydrogenase,3-phospho-D-glycerate,NAD+,NA,NA,NA,NA,3-phosphooxypyruvate,NADH,H+,NA,NA,NA,NA,NA
111,1.1.1.96,diiodophenylpyruvate reductase,"3-(3,5-diiodo-4-hydroxyphenyl)lactate",NAD+,NA,NA,NA,NA,"3-(3,5-diiodo-4-hydroxyphenyl)pyruvate",NADH,H+,NA,NA,NA,NA,NA
112,1.1.1.97,3-hydroxybenzyl-alcohol dehydrogenase,3-hydroxybenzyl alcohol,NADP+,NA,NA,NA,NA,3-hydroxybenzaldehyde,NADPH,H+,NA,NA,NA,NA,NA
113,1.1.1.98,(R)-2-hydroxy-fatty-acid dehydrogenase,(R)-2-hydroxystearate,NAD+,NA,NA,NA,NA,2-oxostearate,NADH,H+,NA,NA,NA,NA,NA
114,1.1.1.99,(S)-2-hydroxy-fatty-acid dehydrogenase,(S)-2-hydroxystearate,NAD+,NA,NA,NA,NA,2-oxostearate,NADH,H+,NA,NA,NA,NA,NA
115,1.1.1.101,acylglycerone-phosphate reductase,1-palmitoylglycerol 3-phosphate,NADP+,NA,NA,NA,NA,palmitoylglycerone phosphate,NADPH,H+,NA,NA,NA,NA,NA
116,1.1.1.102,3-dehydrosphinganine reductase,sphinganine,NADP+,NA,NA,NA,NA,3-dehydrosphinganine,NADPH,H+,NA,NA,NA,NA,NA
117,1.1.1.103,L-threonine 3-dehydrogenase,L-threonine,NAD+,NA,NA,NA,NA,L-2-amino-3-oxobutanoate,NADH,H+,NA,NA,NA,NA,NA
118,1.1.1.104,4-oxoproline reductase,4-hydroxy-L-proline,NAD+,NA,NA,NA,NA,4-oxoproline,NADH,H+,NA,NA,NA,NA,NA
119,1.1.1.106,pantoate 4-dehydrogenase,(R)-pantoate,NAD+,NA,NA,NA,NA,(R)-4-dehydropantoate,NADH,H+,NA,NA,NA,NA,NA
120,1.1.1.107,pyridoxal 4-dehydrogenase,pyridoxal,NAD+,NA,NA,NA,NA,4-pyridoxolactone,NADH,H+,NA,NA,NA,NA,NA
121,1.1.1.108,carnitine 3-dehydrogenase,carnitine,NAD+,NA,NA,NA,NA,3-dehydrocarnitine,NADH,H+,NA,NA,NA,NA,NA
122,1.1.1.110,aromatic 2-oxoacid reductase,(R)-(indol-3-yl)lactate,NAD+,NA,NA,NA,NA,(indol-3-yl)pyruvate,NADH,H+,NA,NA,NA,NA,NA
123,1.1.1.110,aromatic 2-oxoacid reductase,(R)-3-(4-hydroxyphenyl)lactate,NAD+,NA,NA,NA,NA,3-(4-hydroxyphenyl)pyruvate,NADH,H+,NA,NA,NA,NA,NA
124,1.1.1.111,3-(imidazol-5-yl)lactate dehydrogenase,(S)-3-(imidazol-5-yl)lactate,NAD(P)+,NA,NA,NA,NA,3-(imidazol-5-yl)pyruvate,NAD(P)H,H+,NA,NA,NA,NA,NA
125,1.1.1.112,indanol dehydrogenase,indan-1-ol,NAD(P)+,NA,NA,NA,NA,indanone,NAD(P)H,H+,NA,NA,NA,NA,NA
126,1.1.1.113,L-xylose 1-dehydrogenase,L-xylose,NADP+,NA,NA,NA,NA,"L-xylono-1,4-lactone",NADPH,H+,NA,NA,NA,NA,NA
127,1.1.1.114,apiose 1-reductase,D-apiitol,NAD+,NA,NA,NA,NA,D-apiose,NADH,H+,NA,NA,NA,NA,NA
128,1.1.1.115,ribose 1-dehydrogenase (NADP+),D-ribose,NADP+,H2O,NA,NA,NA,D-ribonate,NADPH,H+,NA,NA,NA,NA,NA
129,1.1.1.116,D-arabinose 1-dehydrogenase (NAD+),D-arabinose,NAD+,NA,NA,NA,NA,"D-arabinono-1,4-lactone",NADH,H+,NA,NA,NA,NA,NA
130,1.1.1.117,D-arabinose 1-dehydrogenase [NAD(P)+],D-arabinose,NAD(P)+,NA,NA,NA,NA,"D-arabinono-1,4-lactone",NAD(P)H,H+,NA,NA,NA,NA,NA
131,1.1.1.118,glucose 1-dehydrogenase (NAD+),D-glucose,NAD+,NA,NA,NA,NA,"D-glucono-1,5-lactone",NADH,H+,NA,NA,NA,NA,NA
132,1.1.1.119,glucose 1-dehydrogenase (NADP+),D-glucose,NADP+,NA,NA,NA,NA,"D-glucono-1,5-lactone",NADPH,H+,NA,NA,NA,NA,NA
133,1.1.1.120,galactose 1-dehydrogenase (NADP+),D-galactose,NADP+,NA,NA,NA,NA,"D-galactono-1,5-lactone",NADPH,H+,NA,NA,NA,NA,NA
134,1.1.1.121,aldose 1-dehydrogenase (NAD+),D-aldose,NAD+,NA,NA,NA,NA,D-aldonolactone,NADH,H+,NA,NA,NA,NA,NA
135,1.1.1.122,D-threo-aldose 1-dehydrogenase,a D-threo-aldose,NAD+,NA,NA,NA,NA,"a D-threo-aldono-1,5-lactone",NADH,H+,NA,NA,NA,NA,NA
136,1.1.1.123,sorbose 5-dehydrogenase (NADP+),L-sorbose,NADP+,NA,NA,NA,NA,5-dehydro-D-fructose,NADPH,H+,NA,NA,NA,NA,NA
137,1.1.1.124,fructose 5-dehydrogenase (NADP+),D-fructose,NADP+,NA,NA,NA,NA,5-dehydro-D-fructose,NADPH,H+,NA,NA,NA,NA,NA
138,1.1.1.125,2-deoxy-D-gluconate 3-dehydrogenase,2-deoxy-D-gluconate,NAD+,NA,NA,NA,NA,3-dehydro-2-deoxy-D-gluconate,NADH,H+,NA,NA,NA,NA,NA
139,1.1.1.126,2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase,2-dehydro-3-deoxy-D-gluconate,NADP+,NA,NA,NA,NA,"(4S,5S)-4,5-dihydroxy-2,6-dioxohexanoate",NADPH,H+,NA,NA,NA,NA,NA
140,1.1.1.127,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase,2-dehydro-3-deoxy-D-gluconate,NAD+,NA,NA,NA,NA,"(4S)-4,6-dihydroxy-2,5-dioxohexanoate",NADH,H+,NA,NA,NA,NA,NA
141,1.1.1.129,L-threonate 3-dehydrogenase,L-threonate,NAD+,NA,NA,NA,NA,3-dehydro-L-erythronate,NADH,H+,NA,NA,NA,NA,NA
142,1.1.1.130,3-dehydro-L-gulonate 2-dehydrogenase,3-dehydro-L-gulonate,NAD(P)+,NA,NA,NA,NA,"(4R,5S)-4,5,6-trihydroxy-2,3-dioxohexanoate",NAD(P)H,H+,NA,NA,NA,NA,NA
143,1.1.1.131,mannuronate reductase,D-mannonate,NAD(P)+,NA,NA,NA,NA,D-mannuronate,NAD(P)H,H+,NA,NA,NA,NA,NA
144,1.1.1.132,GDP-mannose 6-dehydrogenase,GDP-D-mannose,NAD+,H2O,NA,NA,NA,GDP-D-mannuronate,NADH,H+,NA,NA,NA,NA,NA
145,1.1.1.133,dTDP-4-dehydrorhamnose reductase,dTDP-beta-L-rhamnose,NADP+,NA,NA,NA,NA,dTDP-4-dehydro-beta-L-rhamnose,NADPH,H+,NA,NA,NA,NA,NA
146,1.1.1.134,dTDP-6-deoxy-L-talose 4-dehydrogenase (NADP+),dTDP-6-deoxy-beta-L-talose,NADP+,NA,NA,NA,NA,dTDP-4-dehydro-beta-L-rhamnose,NADPH,H+,NA,NA,NA,NA,NA
147,1.1.1.135,GDP-6-deoxy-D-talose 4-dehydrogenase,GDP-6-deoxy-alpha-D-talose,NAD(P)+,NA,NA,NA,NA,GDP-4-dehydro-alpha-D-rhamnose,NAD(P)H,H+,NA,NA,NA,NA,NA
148,1.1.1.136,UDP-N-acetylglucosamine 6-dehydrogenase,UDP-N-acetyl-alpha-D-glucosamine,NAD+,H2O,NA,NA,NA,UDP-2-acetamido-2-deoxy-alpha-D-glucuronate,NADH,H+,NA,NA,NA,NA,NA
149,1.1.1.137,ribitol-5-phosphate 2-dehydrogenase,D-ribitol 5-phosphate,NAD(P)+,NA,NA,NA,NA,D-ribulose 5-phosphate,NAD(P)H,H+,NA,NA,NA,NA,NA
150,1.1.1.138,mannitol 2-dehydrogenase (NADP+),D-mannitol,NADP+,NA,NA,NA,NA,D-fructose,NADPH,H+,NA,NA,NA,NA,NA
151,1.1.1.140,sorbitol-6-phosphate 2-dehydrogenase,D-sorbitol 6-phosphate,NAD+,NA,NA,NA,NA,D-fructose 6-phosphate,NADH,H+,NA,NA,NA,NA,NA
